canonicalName
Lupinus mutabilis
Lathyrus
Desmanthus virgatus
Prosopis pallida
Cajanus cajan
Galega officinalis
Anthyllis montana
Anthyllis barba-jovis
Hippocrepis balearica
Acacia macracantha
Cytisus
Cytisus nigricans
Acacia saligna
Colutea
Colutea atlantica
Acacia salicina
Colutea istria
Calicotome villosa
Erythrina crista-galli
Prosopis juliflora
Genista aetnensis
Phaseolus vulgaris
Argyranthemum sventenii
Argyranthemum tenerifae
Argyranthemum lemsii
Argyranthemum gracile
Onobrychis argentea
Acacia dealbata
Trigonella
Trigonella cretica
Argyranthemum maderense
Alcea rosea
Argyranthemum adauctum
Argyranthemum broussonetii
Argyranthemum frutescens
Bromus interruptus
Ocimum basilicum
Matthiola maderensis
Hordeum vulgare
Sequoiadendron giganteum
Yucca brevifolia
Matricaria chamomilla
Crambe cordifolia
Cytisus villosus
Sedum populifolium
Argania spinosa
Crambe abyssinica
Petrocoptis pardoi
Digitalis parviflora
Dactylorhiza sambucina
Ophrys castellana
Dactylorhiza insularis
Serapias lingua
Orchis coriophora
Orchis mascula
Dactylorhiza fuchsii
Dactylorhiza incarnata
Anacamptis pyramidalis
Cynara cardunculus
Gymnadenia conopsea
Brassica montana
Silene hifacensis
Limodorum abortivum
Diplotaxis erucoides
Senecio bicolor
Sideritis serrata
Helianthemum polygonoides
Brassica glabrescens
Erodium paularense
Onopordum acanthium
Lesquerella arctica
Antirrhinum microphyllum
Lavandula stoechas
Onobrychis saxatilis
Atriplex halimus
Onopordum nervosum
Acer negundo
Laserpitium longiradium
Medicago strasseri
Magnolia grandiflora
Ceratonia siliqua
Rosmarinus officinalis
Cistus laurifolius
Echinochloa colonum
Campsis grandiflora
Gossypium arboreum
Echinochloa crus-galli
Echinochloa hispidula
Echinochloa oryzicola
Echinochloa oryzoides
Sedum pilosum
Sedum stenopetalum
Brassica oleracea
Lupinus arcticus
Teucrium polium
Linaria lamarckii
Serapias
Fritillaria lusitanica
Thymus carnosus
Verbascum litigiosum
Iberis linifolia
Verbascum thapsus
Vicia villosa
Paliurus spina-christi
Lithodora nitida
Cytisus cantabricus
Picris willkommii
Genista lobelii
Trifolium
Diplotaxis siifolia
Arabis lusitanica
Teucrium salviastrum
Mirabilis jalapa
Coronilla emerus
Carduus carpetanus
Thymus mastichina
Iberis procumbens
Malcolmia lacera
Antirrhinum graniticum
Festuca elegans
Genista lanuginosa
Senecio pyrenaicus
Phalacrocarpum oppositifolium
Agrostis durieui
Teucrium scorodonia
Arabis purpurea
Cytisus striatus
Vigna catjang
Onobrychis transcaucasica
Onobrychis hajastana
Colutea persica
Colutea gracilis
Colutea orientalis
Ephedra fragilis
Diplotaxis brachycarpa
Cistus symphytifolius
Brassica oxyrrhina
Aichryson bollei
Arabis caucasica
Antirrhinum
Linaria nivea
Erythrina pallida
Lepidium oleraceum
Rorippa gigantea
Hordeum
Astragalus cicer
Onobrychis altissima
Cochlearia
Brassica incana
Erythroxylum coca
Pisum sativum
Raphanus raphanistrum
Trigonella foenum-graecum
Caragana frutex
Halimodendron halodendron
Lotus corniculatus
Erysimum macradenium
Tetragonolobus maritimus
Caragana decorticans
Cytisus purgans
Cytisus arboreus
Teline monspessulana
Chamaecytisus supinus
Teline canariensis
Chamaecytisus ruthenicus
Chamaecytisus ratisbonensis
Cytisus reverchonii
Cytisus grandiflorus
Astragalus frigidus
Chamaecytisus podolicus
Chamaecytisus glaber
Teline linifolia
Cytisus praecox
Cytisus heterochrous
Chamaecytisus leiocarpus
Medicago
Melilotus alba
Onobrychis montana
Onobrychis arenaria
Acacia cyanophylla
Astragalus monspessulanus
Melilotus messanensis
Caragana aurantiaca
Melilotus albus
Melilotus officinalis
Onobrychis caput-galli
Hedysarum alpinum
Melilotus altissimus
Onobrychis inermis
Onobrychis sennenii
Onobrychis stenorhiza
Melilotus
Dorycnium
Hedysarum coronarium
Genista corsica
Lotus cytisoides
Psoralea bituminosa
Onobrychis
Lycopersicum esculentum
Abelia mosanensis
Hibiscus esculentus
Abies pinsapo
Abutilon indicum
Abutilon theophrasti
Acacia caven
Acacia farnesiana
Acaena myriophylla
Acanthus mollis
Acer
Acer campestre
Acer monspessulanum
Acer opalus
Acer granatense
Acer platanoides
Acer pseudoplatanus
Achillea
Achillea ambrosiaca
Achillea chamaemelifolia
Achillea ligustica
Achillea millefolium
Aconitum nevadense
Aconitum napellus
Adansonia
Adenium obesum
Adenocarpus hispanicus
Adenocarpus complicatus
Adenocarpus foliolosus
Adenocarpus viscosus
Aegilops
Aegilops caudata
Aegilops comosa
Aegilops geniculata
Aegilops lorentii
Aegilops speltoides
Aegilops triuncialis
Aeonium
Aeonium castello-paivae
Aeonium ciliatum
Aeonium cuneatum
Aeonium davidbramwellii
Aeonium decorum
Aeonium glandulosum
Aeonium glutinosum
Aeonium gomerense
Aeonium goochiae
Aeonium haworthii
Aeonium hierrense
Aeonium holochrysum
Aeonium lancerottense
Aeonium manriqueorum
Aeonium nobile
Aeonium palmense
Aeonium longithyrsum
Aeonium percarneum
Aeonium rubrolineatum
Aeonium saundersii
Aeonium sedifolium
Aeonium simsii
Aeonium smithii
Aeonium spathulatum
Aeonium subplanum
Aeonium undulatum
Aeonium urbicum
Aeonium valverdense
Aeonium virgineum
Aeonium viscatum
Aethionema arabicum
Aethionema armenum
Aethionema carneum
Aethionema cordatum
Aethionema cordifolium
Aethionema diastrophis
Aethionema edentulum
Aethionema pulchellum
Aethionema grandiflorum
Aethionema iberideum
Aethionema recurvum
Aethionema saxatile
Aethionema creticum
Aethionema speciosum
Aethionema stylosum
Aethionema thomasianum
Agave
Agave americana
Ageratina adenophora
Agrimonia eupatoria
Agrostis
Agrostis duriaei
Agrostis nevadensis
Aichryson divaricatum
Aichryson laxum
Aichryson pachycaulon
Aichryson palmense
Aichryson punctatum
Aichryson villosum
Ailanthus altissima
Aiphanes caryotaefolia
Alcea
Allagopappus dichotomus
Allium
Allium cepa
Allium fistulosum
Allium nebrodense
Allium moly
Allium polyanthum
Allium schoenoprasum
Allium lusitanicum
Allium tuberosum
Alopecurus myosuroides
Althaea officinalis
Alyssoides graeca
Alyssoides utriculata
Alyssum atlanticum
Alyssum bertolonii
Alyssum borzaeanum
Alyssum bracteatum
Alyssum chalcidicum
Alyssum chlorocarpum
Alyssum cuneifolium
Alyssum dasycarpum
Alyssum desertorum
Alyssum eriophyllum
Alyssum flahaultianum
Alyssum handelii
Alyssum idaeum
Alyssum halimifolium
Ptilotrichum halimifolium
Alyssum linifolium
Ptilotrichum macrocarpum
Alyssum markgrafii
Alyssum nebrodense
Alyssum ovirense
Alyssum pateri
Alyssum repens
Alyssum robertianum
Alyssum scardicum
Alyssum scutigerum
Alyssum serpyllifolium
Alyssum simplex
Alyssum stapfii
Alyssum strigosum
Alyssum tenium
Amaranthus
Amaranthus albus
Amaranthus blitoides
Amaranthus caudatus
Amaranthus hybridus
Amelanchier
Amelanchier ovalis
Ammi majus
Ammi visnaga
Ammoides pusilla
Ammophila arenaria
Amomum aromaticum
Anacyclus alboranensis
Anacyclus clavatus
Anacyclus valentinus
Anadenanthera colubrina
Anagyris latifolia
Anarrhinum
Anarrhinum fruticosum
Anarrhinum laxiflorum
Anchusa calcarea
Anchusa crispa
Androcymbium europaeum
Androcymbium wyssianum
Androsace pyrenaica
Andryala glandulosa
Andryala pinnatifida
Anemone pavoniana
Angelica angelicastrum
Angelica pachycarpa
Angelica razulii
Anthemis
Anthemis aetnensis
Anthemis cupaniana
Anthemis plutonia
Anthericum baeticum
Anthoxanthum amarum
Anthyllis cytisoides
Anthyllis polycephala
Anthyllis rupestris
Anthyllis tejedensis
Anthyllis plumosa
Anthyllis terniflora
Antirrhinum australe
Antirrhinum barrelieri
Antirrhinum charidemi
Antirrhinum hispanicum
Antirrhinum majus
Antirrhinum litigiosum
Antirrhinum meonanthum
Antirrhinum molle
Antirrhinum pulverulentum
Antirrhinum siculum
Antirrhinum subbaeticum
Antirrhinum valentinum
Agrostis interrupta
Apium graveolens
Apollonias barbujana
Aptenia cordifolia
Aquilegia
Aquilegia amaliae
Aquilegia cazorlensis
Aquilegia pyrenaica
Aquilegia guarensis
Aquilegia aragonensis
Aquilegia vulgaris
Aquilegia nevadensis
Arabidopsis
Arabidopsis griffithiana
Arabis suecica
Arabidopsis suecica
Arabis alpina
Arabis arendsii
Arabis aubrietioides
Arabis auriculata
Arabis recta
Arabis pumila
Arabis borealis
Arabis coerulea
Arabis caerulea
Arabis corymbiflora
Arabis ciliata
Arabis collina
Arabis collinsii
Arabis conringioides
Arabis divaricarpa
Arabis glabra
Turritis glabra
Arabis hirsuta
Arabis holboellii
Arabis hornungiana
Arabis parvula
Arabis planisiliqua
Arabis procurrens
Arabis pubescens
Arabis scabra
Arabis soyeri
Arabis turrita
Arabis verna
Arabis vochinensis
Arachis hypogea
Arbutus canariensis
Arbutus unedo
Arctium minus
Arctium tomentosum
Arctostaphylos uva-ursi
Arctotheca calendula
Arenaria
Arenaria arcuatociliata
Arenaria armerina
Arenaria capillipes
Arenaria conimbricensis
Arenaria fontqueri
Arenaria grandiflora
Arenaria modesta
Arenaria obtusiflora
Arenaria purpurascens
Arenaria racemosa
Arenaria tetraquetra
Arenaria valentina
Argemone mexicana
Argyranthemum
Argyranthemum callichrysum
Argyranthemum coronopifolium
Argyranthemum escarrei
Argyranthemum filifolium
